feature,importance
num_orders,0.48481777
volatility_momentum,0.122007824
sales_percentile,0.09799356
sales_zscore,0.07742825
sales_lag_12,0.035833653
month,0.0297478
diff_from_mean_3,0.02000011
momentum_6,0.018966302
sales_rolling_mean_3,0.01551008
sales_rolling_mean_12,0.012097287
diff_from_mean_6,0.009319382
sales_lag_3,0.008983179
macd,0.008188917
sales_rolling_std_6,0.008021796
sales_lag_1,0.007608043
sales_rolling_std_12,0.006958727
sales_volatility,0.0063782744
num_transactions,0.0059763035
sales_rolling_min_6,0.0056562135
month_cos,0.005647672
sales_rolling_min_3,0.0036416587
sales_rolling_std_3,0.0031481315
avg_order_value,0.002256151
sales_rolling_mean_6,0.0011498409
sales_rolling_min_12,0.00035325883
sales_rolling_max_3,0.00035088736
month_sin,0.00030570035
mom_growth,0.0002960946
sales_lag_2,0.0002517917
sales_lag_6,0.00023218879
month_time_interaction,0.0002307192
momentum_3,0.0001849358
sales_rolling_max_6,0.00011520417
diff_from_mean_12,0.00011070392
yoy_growth,0.00010044252
year_month,6.660419e-05
quarter_year_interaction,5.9557697e-05
quarter,4.982922e-06
time_index,0.0
quarter_cos,0.0
quarter_sin,0.0
sales_rolling_max_12,0.0
year,0.0
